name,attack,base_egg_steps,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,type1,type2,speed,is_legendary
Swablu,40,5120,255.0,60,600000,45,75,50,normal,flying,1.2,False
Budew,30,5120,255.0,35,1059860,40,70,55,grass,poison,1.2,False
Minun,40,5120,200.0,50,1000000,60,85,95,electric,,4.2,False
Metapod,20,3840,120.0,55,1000000,50,25,30,bug,,9.9,False
Chikorita,49,5120,45.0,65,1059860,45,65,45,grass,,6.4,False
Pinsir,155,6400,45.0,120,1250000,65,90,105,bug,,55.0,False
Cinccino,95,3840,60.0,60,800000,75,60,115,normal,,7.5,False
Elgyem,55,5120,255.0,55,1000000,55,55,30,psychic,,9.0,False
Foongus,55,5120,190.0,45,1000000,69,55,15,grass,poison,1.0,False
Ariados,90,3840,90.0,70,800000,70,70,40,bug,poison,33.5,False
Aipom,70,5120,45.0,55,800000,55,55,85,normal,,11.5,False
Accelgor,70,3840,75.0,40,1000000,80,60,145,bug,,25.3,False
Dialga,120,30720,3.0,120,1250000,100,100,90,steel,dragon,683.0,True
Starly,55,3840,255.0,30,1059860,40,30,60,normal,flying,2.0,False
Ledyba,20,3840,255.0,30,800000,40,80,55,bug,flying,10.8,False
Politoed,75,5120,45.0,75,1059860,90,100,70,water,,33.9,False
Dodrio,110,5120,45.0,70,1000000,60,60,110,normal,flying,85.2,False
Aggron,140,8960,45.0,230,1250000,70,80,50,steel,rock,360.0,False
Mankey,80,5120,190.0,35,1000000,40,45,70,fighting,,28.0,False
Hitmonlee,120,6400,45.0,53,1000000,50,110,87,fighting,,49.8,False
Oshawott,55,5120,45.0,45,1059860,55,45,45,water,,5.9,False
Cyndaquil,52,5120,45.0,43,1059860,39,50,65,fire,,7.9,False
Goldeen,67,5120,225.0,60,1000000,45,50,63,water,,15.0,False
Swinub,50,5120,225.0,40,1250000,50,30,50,ice,ground,6.5,False
Nihilego,53,30720,45.0,47,1250000,109,131,103,rock,poison,55.5,True
Mudkip,70,5120,45.0,50,1059860,50,50,40,water,,7.6,False
Sewaddle,53,3840,255.0,70,1059860,45,60,42,bug,grass,2.5,False
Weezing,90,5120,60.0,120,1000000,65,70,60,poison,,9.5,False
Grumpig,45,5120,60.0,65,800000,80,110,80,psychic,,71.5,False
Lopunny,136,5120,60.0,94,1000000,65,96,135,normal,,33.3,False
Togepi,20,2560,190.0,65,800000,35,65,20,fairy,,1.5,False
Teddiursa,80,5120,120.0,50,1000000,60,50,40,normal,,8.8,False
Lampent,40,5120,90.0,60,1059860,60,60,55,ghost,fire,13.0,False
Palkia,120,30720,3.0,100,1250000,90,120,100,water,dragon,336.0,True
Shroomish,40,3840,255.0,60,1640000,60,60,35,grass,,4.5,False
Porygon-Z,80,5120,30.0,70,1000000,85,75,90,normal,,34.0,False
Flygon,100,5120,45.0,80,1059860,80,80,100,ground,dragon,82.0,False
Tynamo,55,5120,190.0,40,1250000,35,40,60,electric,,0.3,False
Machop,80,5120,180.0,50,1059860,70,35,35,fighting,,19.5,False
Zekrom,150,30720,3.0,120,1250000,100,100,90,dragon,electric,345.0,True
Wigglytuff,70,2560,50.0,45,800000,140,50,45,normal,fairy,12.0,False
Heracross,185,6400,45.0,115,1250000,80,105,75,bug,fighting,54.0,False
Archeops,140,7680,45.0,65,1000000,75,65,110,rock,flying,32.0,False
Gyarados,155,1280,45.0,109,1250000,95,130,81,water,flying,235.0,False
Gliscor,95,5120,30.0,125,1059860,75,75,95,ground,flying,42.5,False
Tranquill,77,3840,120.0,62,1059860,62,42,65,normal,flying,15.0,False
Gardevoir,85,5120,45.0,65,1250000,68,135,100,psychic,fairy,48.4,False
